Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
science,intermediate,team,diploma,introvert,logical,low,average,visionary,exceptional,qa engineer
business,intermediate,office,phd,thinker,intuitive,very high,fluent,collaborative,high,network engineer
technology,beginner,flexible,bachelors,doer,intuitive,very high,fluent,moderate,medium,virtual reality developer
business,advanced,team,masters,thinker,intuitive,low,excellent,visionary,very high,cybersecurity analyst
business,advanced,solo,diploma,leader,intuitive,low,outstanding,moderate,low,embedded systems engineer
art,expert,team,high school,introvert,logical,very high,poor,visionary,high,computer vision engineer
art,advanced,remote,diploma,doer,practical,high,poor,strong,medium,business analyst
science,intermediate,office,bachelors,thinker,intuitive,low,outstanding,collaborative,high,database administrator
science,advanced,remote,masters,doer,analytical,low,average,strong,low,speech recognition specialist
science,expert,solo,diploma,extrovert,practical,high,poor,collaborative,medium,system architect
business,advanced,flexible,masters,extrovert,intuitive,high,excellent,visionary,low,business analyst
technology,intermediate,flexible,phd,doer,logical,medium,fluent,visionary,low,embedded systems engineer
art,advanced,solo,diploma,leader,practical,high,outstanding,strong,high,game developer
technology,advanced,remote,diploma,introvert,practical,high,poor,collaborative,high,data scientist
medicine,advanced,flexible,masters,leader,logical,medium,outstanding,strong,exceptional,research scientist
science,advanced,remote,bachelors,leader,intuitive,high,outstanding,moderate,exceptional,devops engineer
art,expert,team,high school,thinker,analytical,medium,fluent,strong,low,game developer
science,advanced,office,phd,thinker,intuitive,high,outstanding,visionary,medium,algorithm engineer
medicine,intermediate,flexible,diploma,leader,logical,very high,average,strong,very high,research scientist
business,advanced,office,masters,introvert,analytical,low,fluent,collaborative,high,cybersecurity analyst
business,advanced,team,diploma,extrovert,intuitive,high,poor,visionary,high,data analyst
medicine,intermediate,team,phd,thinker,practical,medium,outstanding,moderate,low,iot specialist
art,intermediate,team,bachelors,doer,creative,medium,outstanding,strong,low,data engineer
medicine,beginner,remote,diploma,thinker,practical,low,average,moderate,medium,full stack developer
science,expert,solo,bachelors,leader,analytical,high,fluent,moderate,exceptional,cloud architect
art,expert,remote,phd,extrovert,logical,high,excellent,collaborative,medium,system architect
business,beginner,solo,diploma,leader,intuitive,very high,outstanding,strong,high,business analyst
technology,advanced,remote,bachelors,doer,intuitive,medium,poor,moderate,very high,business analyst
science,expert,solo,bachelors,doer,practical,high,fluent,moderate,medium,hardware engineer
art,intermediate,solo,phd,doer,practical,medium,fluent,collaborative,exceptional,full stack developer
technology,expert,solo,high school,thinker,analytical,very high,excellent,collaborative,medium,blockchain developer
art,advanced,office,masters,leader,analytical,very high,average,moderate,exceptional,ui/ux designer
technology,expert,solo,high school,introvert,logical,high,fluent,collaborative,medium,bioinformatics scientist
business,expert,team,masters,introvert,creative,low,poor,collaborative,medium,speech recognition specialist
medicine,advanced,solo,masters,thinker,creative,medium,poor,collaborative,exceptional,augmented reality developer
medicine,expert,flexible,bachelors,leader,practical,high,average,collaborative,medium,game developer
business,advanced,office,bachelors,thinker,logical,low,average,collaborative,medium,technical writer
technology,intermediate,flexible,masters,introvert,creative,medium,average,moderate,medium,data scientist
medicine,advanced,solo,phd,extrovert,intuitive,high,outstanding,visionary,low,full stack developer
art,expert,solo,masters,thinker,creative,very high,excellent,moderate,medium,ml engineer
business,intermediate,flexible,masters,thinker,creative,low,poor,collaborative,medium,business analyst
technology,advanced,remote,masters,extrovert,practical,low,excellent,moderate,low,full stack developer
technology,advanced,office,diploma,extrovert,analytical,high,average,collaborative,exceptional,solutions architect
medicine,intermediate,office,bachelors,extrovert,analytical,high,excellent,collaborative,very high,game developer
technology,advanced,remote,bachelors,introvert,intuitive,low,average,moderate,very high,business analyst
medicine,advanced,remote,bachelors,introvert,practical,high,outstanding,visionary,low,financial analyst
technology,beginner,team,phd,introvert,practical,medium,average,visionary,exceptional,speech recognition specialist
medicine,expert,team,phd,introvert,creative,very high,average,collaborative,high,robotics engineer
business,intermediate,team,phd,thinker,analytical,very high,fluent,strong,high,robotics engineer
art,expert,solo,bachelors,doer,intuitive,medium,outstanding,collaborative,exceptional,iot specialist
technology,advanced,remote,diploma,leader,analytical,high,outstanding,visionary,medium,ai researcher
technology,intermediate,remote,masters,leader,creative,low,average,collaborative,very high,robotics engineer
art,beginner,team,high school,leader,analytical,high,poor,moderate,medium,augmented reality developer
medicine,expert,solo,phd,extrovert,intuitive,very high,average,collaborative,medium,product manager
art,advanced,flexible,bachelors,doer,analytical,high,excellent,moderate,high,bioinformatics scientist
medicine,advanced,remote,diploma,leader,intuitive,medium,average,moderate,exceptional,database administrator
science,intermediate,flexible,phd,extrovert,creative,high,outstanding,visionary,very high,mobile app developer
art,beginner,office,diploma,extrovert,creative,low,poor,collaborative,very high,deep learning engineer
medicine,expert,flexible,bachelors,leader,creative,low,fluent,visionary,low,robotics engineer
art,beginner,team,masters,leader,creative,low,fluent,visionary,low,devops engineer
medicine,advanced,remote,high school,introvert,analytical,high,average,moderate,exceptional,nlp engineer
medicine,expert,flexible,masters,introvert,logical,high,fluent,collaborative,exceptional,product manager
business,advanced,solo,masters,thinker,analytical,low,outstanding,visionary,high,system architect
science,advanced,flexible,high school,leader,practical,low,fluent,collaborative,exceptional,network engineer
science,advanced,team,diploma,extrovert,intuitive,very high,fluent,collaborative,very high,virtual reality developer
technology,expert,team,high school,extrovert,practical,high,excellent,moderate,very high,speech recognition specialist
technology,beginner,office,diploma,extrovert,practical,very high,excellent,moderate,exceptional,ui/ux designer
business,advanced,solo,high school,doer,creative,high,poor,collaborative,medium,speech recognition specialist
art,advanced,office,phd,introvert,intuitive,very high,poor,visionary,medium,ai researcher
science,advanced,remote,bachelors,extrovert,logical,high,fluent,visionary,very high,database administrator
technology,beginner,office,high school,extrovert,practical,high,average,visionary,medium,game developer
medicine,advanced,flexible,phd,thinker,practical,high,fluent,collaborative,medium,ui/ux designer
medicine,advanced,flexible,diploma,doer,practical,very high,excellent,strong,exceptional,product manager
art,expert,flexible,phd,thinker,creative,low,poor,moderate,high,financial analyst
technology,advanced,solo,high school,doer,intuitive,high,fluent,moderate,high,data scientist
art,intermediate,team,masters,doer,intuitive,low,outstanding,visionary,exceptional,database administrator
science,advanced,team,bachelors,introvert,intuitive,medium,excellent,collaborative,medium,devops engineer
technology,advanced,solo,diploma,doer,intuitive,low,fluent,collaborative,high,bioinformatics scientist
technology,intermediate,team,high school,introvert,intuitive,low,average,moderate,medium,ai researcher
business,beginner,remote,masters,doer,logical,low,poor,moderate,low,blockchain developer
business,advanced,flexible,phd,leader,analytical,low,poor,strong,high,data analyst
medicine,advanced,flexible,phd,doer,intuitive,high,average,collaborative,medium,algorithm engineer
technology,advanced,solo,phd,thinker,practical,high,excellent,collaborative,medium,data analyst
business,intermediate,remote,high school,thinker,logical,high,excellent,strong,medium,ai researcher
medicine,expert,flexible,high school,extrovert,logical,high,fluent,strong,low,hardware engineer
business,advanced,office,masters,extrovert,intuitive,high,excellent,collaborative,low,qa engineer
technology,advanced,office,bachelors,doer,intuitive,low,fluent,collaborative,exceptional,game developer
medicine,advanced,team,diploma,introvert,logical,high,outstanding,collaborative,medium,web developer
science,intermediate,flexible,bachelors,leader,intuitive,low,fluent,moderate,medium,network engineer
business,advanced,remote,high school,extrovert,practical,low,excellent,visionary,low,software engineer
science,advanced,flexible,bachelors,extrovert,analytical,high,outstanding,collaborative,high,bioinformatics scientist
technology,beginner,flexible,high school,doer,practical,very high,outstanding,strong,low,technical writer
science,advanced,team,high school,extrovert,analytical,medium,excellent,collaborative,medium,ui/ux designer
science,intermediate,office,high school,leader,logical,very high,outstanding,moderate,high,deep learning engineer
science,advanced,solo,masters,doer,intuitive,high,outstanding,collaborative,medium,embedded systems engineer
technology,intermediate,solo,high school,thinker,analytical,low,excellent,strong,very high,site reliability engineer
business,advanced,team,diploma,introvert,creative,high,outstanding,collaborative,very high,data analyst
art,beginner,team,masters,leader,intuitive,medium,average,strong,high,game developer
science,advanced,office,diploma,leader,analytical,high,average,collaborative,exceptional,research scientist
art,advanced,remote,bachelors,leader,practical,high,outstanding,collaborative,low,cybersecurity analyst
art,advanced,flexible,bachelors,leader,creative,very high,fluent,collaborative,high,augmented reality developer
business,beginner,office,high school,extrovert,creative,high,average,collaborative,very high,automation engineer
business,advanced,remote,bachelors,thinker,practical,high,average,collaborative,very high,web developer
technology,advanced,office,high school,doer,analytical,low,excellent,collaborative,exceptional,qa engineer
technology,beginner,flexible,phd,extrovert,practical,very high,poor,moderate,medium,blockchain developer
technology,advanced,team,bachelors,extrovert,creative,medium,outstanding,collaborative,low,ml engineer
business,beginner,remote,high school,doer,analytical,high,fluent,collaborative,low,business analyst
business,intermediate,office,bachelors,leader,analytical,low,fluent,collaborative,low,computer vision engineer
medicine,advanced,office,bachelors,doer,logical,very high,average,strong,low,data scientist
technology,advanced,solo,phd,leader,creative,medium,poor,visionary,exceptional,virtual reality developer
science,intermediate,team,phd,thinker,creative,high,outstanding,strong,medium,network engineer
business,expert,solo,high school,extrovert,intuitive,low,outstanding,collaborative,medium,web developer
science,intermediate,team,high school,thinker,logical,medium,average,strong,medium,devops engineer
technology,beginner,flexible,diploma,extrovert,creative,high,outstanding,collaborative,low,product manager
medicine,expert,office,phd,thinker,intuitive,high,fluent,collaborative,low,product manager
technology,expert,solo,phd,leader,intuitive,medium,average,visionary,high,cloud architect
technology,beginner,office,high school,leader,analytical,low,fluent,strong,high,database administrator
art,intermediate,remote,diploma,leader,intuitive,high,fluent,collaborative,low,mobile app developer
technology,advanced,solo,diploma,leader,logical,high,poor,collaborative,very high,business analyst
medicine,expert,solo,bachelors,introvert,creative,low,poor,collaborative,exceptional,site reliability engineer
science,advanced,team,phd,introvert,practical,very high,average,strong,high,automation engineer
technology,intermediate,office,diploma,leader,logical,high,outstanding,strong,high,qa engineer
medicine,beginner,solo,high school,thinker,practical,medium,average,visionary,high,full stack developer
business,beginner,flexible,phd,extrovert,practical,high,poor,collaborative,exceptional,ai ethics researcher
medicine,advanced,remote,diploma,thinker,intuitive,high,average,collaborative,low,algorithm engineer
science,advanced,flexible,masters,doer,analytical,medium,fluent,moderate,high,game developer
medicine,expert,solo,diploma,thinker,creative,high,poor,strong,medium,ui/ux designer
art,advanced,team,bachelors,introvert,practical,low,poor,collaborative,very high,ml engineer
medicine,beginner,solo,diploma,introvert,creative,very high,outstanding,strong,low,ml engineer
art,advanced,team,bachelors,thinker,analytical,low,excellent,strong,low,bioinformatics scientist
art,beginner,flexible,high school,extrovert,creative,very high,excellent,strong,very high,qa engineer
medicine,intermediate,team,masters,introvert,logical,very high,outstanding,strong,high,algorithm engineer
science,expert,remote,diploma,leader,intuitive,low,outstanding,strong,exceptional,cybersecurity analyst
business,beginner,office,bachelors,leader,analytical,very high,fluent,moderate,low,data scientist
art,intermediate,team,phd,doer,practical,very high,average,strong,high,web developer
business,expert,solo,high school,introvert,intuitive,low,fluent,visionary,exceptional,web developer
business,advanced,team,phd,leader,intuitive,low,excellent,visionary,very high,game developer
technology,advanced,team,phd,introvert,logical,high,outstanding,visionary,very high,database administrator
science,advanced,office,bachelors,introvert,analytical,high,outstanding,collaborative,very high,hardware engineer
technology,intermediate,flexible,high school,leader,creative,high,excellent,collaborative,very high,blockchain developer
medicine,expert,team,masters,extrovert,analytical,low,outstanding,visionary,high,cybersecurity analyst
technology,advanced,flexible,diploma,doer,analytical,very high,outstanding,collaborative,high,solutions architect
art,expert,office,diploma,leader,logical,high,average,moderate,very high,data engineer
medicine,expert,team,diploma,thinker,intuitive,low,excellent,collaborative,high,augmented reality developer
art,intermediate,flexible,masters,thinker,analytical,high,outstanding,moderate,exceptional,network engineer
art,advanced,solo,high school,extrovert,creative,low,poor,strong,low,blockchain developer
medicine,advanced,solo,diploma,doer,intuitive,high,poor,collaborative,high,computer vision engineer
art,advanced,team,high school,extrovert,analytical,high,excellent,collaborative,medium,financial analyst
art,expert,flexible,diploma,extrovert,analytical,medium,poor,strong,very high,game developer
science,advanced,flexible,diploma,introvert,intuitive,very high,fluent,collaborative,exceptional,data analyst
science,beginner,solo,bachelors,leader,practical,medium,average,collaborative,high,technical writer
medicine,advanced,team,high school,thinker,analytical,high,outstanding,strong,very high,virtual reality developer
business,beginner,team,bachelors,leader,creative,high,poor,strong,exceptional,speech recognition specialist
art,advanced,flexible,phd,introvert,creative,high,poor,strong,medium,ai ethics researcher
technology,intermediate,remote,masters,extrovert,intuitive,high,outstanding,collaborative,high,augmented reality developer
art,advanced,team,bachelors,introvert,creative,high,poor,strong,exceptional,ai ethics researcher
medicine,advanced,flexible,diploma,doer,intuitive,medium,excellent,moderate,high,game developer
business,advanced,remote,bachelors,doer,practical,medium,poor,visionary,high,full stack developer
medicine,intermediate,office,diploma,extrovert,logical,medium,poor,strong,high,speech recognition specialist
art,expert,office,diploma,introvert,practical,medium,poor,collaborative,medium,blockchain developer
medicine,advanced,team,high school,thinker,intuitive,high,poor,collaborative,low,bioinformatics scientist
business,expert,office,masters,leader,intuitive,low,poor,moderate,very high,business analyst
technology,advanced,team,high school,doer,practical,medium,excellent,moderate,medium,data engineer
medicine,advanced,remote,diploma,extrovert,creative,medium,average,collaborative,very high,ml engineer
science,beginner,solo,phd,doer,creative,medium,fluent,moderate,very high,mobile app developer
art,intermediate,solo,masters,extrovert,intuitive,medium,poor,moderate,exceptional,ml engineer
art,beginner,office,bachelors,extrovert,logical,high,outstanding,collaborative,very high,ai ethics researcher
technology,intermediate,remote,masters,introvert,creative,high,average,collaborative,exceptional,web developer
medicine,beginner,team,masters,extrovert,practical,low,outstanding,collaborative,high,data engineer
technology,expert,office,diploma,thinker,logical,high,average,visionary,very high,product manager
technology,beginner,team,diploma,introvert,logical,high,poor,collaborative,low,game developer
science,beginner,flexible,high school,doer,logical,very high,average,moderate,medium,web developer
art,expert,office,masters,leader,logical,medium,outstanding,moderate,medium,embedded systems engineer
business,advanced,team,phd,doer,logical,high,outstanding,strong,medium,virtual reality developer
technology,advanced,solo,phd,doer,analytical,medium,outstanding,collaborative,high,speech recognition specialist
technology,advanced,flexible,high school,doer,practical,medium,excellent,collaborative,very high,ai researcher
art,advanced,flexible,bachelors,leader,logical,very high,fluent,strong,low,web developer
science,expert,office,masters,thinker,analytical,medium,excellent,collaborative,very high,blockchain developer
science,expert,remote,diploma,leader,creative,very high,fluent,strong,exceptional,site reliability engineer
science,advanced,remote,bachelors,thinker,intuitive,medium,excellent,collaborative,very high,cybersecurity analyst
medicine,advanced,solo,bachelors,introvert,practical,high,fluent,collaborative,low,bioinformatics scientist
science,advanced,team,masters,thinker,creative,low,average,moderate,high,web developer
science,expert,flexible,bachelors,introvert,logical,high,average,collaborative,medium,ui/ux designer
business,advanced,remote,bachelors,leader,intuitive,medium,poor,strong,low,virtual reality developer
business,intermediate,flexible,high school,doer,logical,low,poor,strong,high,technical writer
business,intermediate,flexible,masters,extrovert,creative,low,fluent,moderate,very high,solutions architect
science,beginner,team,bachelors,thinker,analytical,high,fluent,collaborative,very high,blockchain developer
art,advanced,flexible,masters,extrovert,creative,very high,excellent,collaborative,exceptional,solutions architect
art,expert,remote,diploma,extrovert,analytical,very high,fluent,strong,low,technical writer
medicine,advanced,team,bachelors,thinker,intuitive,medium,fluent,collaborative,high,iot specialist
art,advanced,team,diploma,thinker,analytical,very high,poor,moderate,very high,deep learning engineer
medicine,advanced,flexible,diploma,doer,analytical,medium,average,collaborative,high,data engineer
art,expert,office,high school,leader,creative,high,excellent,collaborative,low,qa engineer
business,advanced,flexible,phd,doer,logical,medium,excellent,collaborative,exceptional,solutions architect
business,expert,office,phd,thinker,logical,high,average,collaborative,low,nlp engineer
medicine,intermediate,team,phd,doer,analytical,medium,average,strong,high,speech recognition specialist
technology,beginner,flexible,masters,thinker,intuitive,very high,poor,collaborative,exceptional,computer vision engineer
medicine,beginner,remote,diploma,introvert,analytical,high,excellent,strong,medium,data engineer
business,beginner,remote,masters,introvert,analytical,high,excellent,strong,low,data analyst
science,beginner,team,masters,extrovert,intuitive,high,outstanding,collaborative,very high,software engineer
medicine,advanced,solo,phd,introvert,logical,high,outstanding,strong,medium,hardware engineer
business,advanced,office,high school,extrovert,creative,low,excellent,strong,low,data engineer
medicine,advanced,office,diploma,extrovert,intuitive,medium,outstanding,moderate,medium,product manager
business,expert,team,high school,thinker,intuitive,high,fluent,visionary,high,virtual reality developer
science,expert,flexible,masters,introvert,analytical,very high,fluent,visionary,low,product manager
art,beginner,solo,high school,leader,logical,high,outstanding,visionary,very high,speech recognition specialist
science,advanced,flexible,bachelors,thinker,practical,very high,poor,moderate,very high,research scientist
art,advanced,flexible,bachelors,thinker,creative,low,outstanding,visionary,high,financial analyst
science,expert,office,bachelors,leader,logical,high,average,collaborative,medium,cybersecurity analyst
medicine,advanced,flexible,high school,thinker,practical,low,average,collaborative,high,automation engineer
art,beginner,remote,bachelors,doer,intuitive,very high,fluent,collaborative,low,mobile app developer
medicine,advanced,office,phd,introvert,analytical,high,excellent,visionary,exceptional,web developer
technology,intermediate,flexible,diploma,doer,logical,low,fluent,collaborative,exceptional,virtual reality developer
technology,expert,solo,diploma,thinker,logical,medium,poor,visionary,medium,computer vision engineer
science,advanced,team,bachelors,extrovert,creative,high,poor,moderate,medium,ai ethics researcher
business,intermediate,remote,diploma,doer,intuitive,low,excellent,moderate,low,system architect
technology,advanced,office,high school,doer,logical,low,outstanding,visionary,very high,speech recognition specialist
business,advanced,office,diploma,introvert,creative,medium,fluent,collaborative,exceptional,software engineer
art,expert,solo,masters,extrovert,creative,high,excellent,collaborative,high,system architect
art,advanced,remote,masters,extrovert,intuitive,high,average,moderate,low,solutions architect
medicine,advanced,remote,phd,extrovert,creative,very high,outstanding,visionary,low,full stack developer
medicine,advanced,team,diploma,extrovert,creative,high,excellent,visionary,high,game developer
technology,advanced,solo,phd,leader,analytical,high,excellent,collaborative,very high,ai ethics researcher
medicine,expert,team,phd,doer,analytical,very high,average,collaborative,high,ai ethics researcher
science,expert,solo,phd,leader,practical,very high,poor,collaborative,high,cybersecurity analyst
medicine,advanced,team,bachelors,introvert,intuitive,very high,outstanding,moderate,very high,business analyst
art,advanced,solo,masters,thinker,intuitive,medium,fluent,moderate,very high,mobile app developer
science,intermediate,team,high school,doer,analytical,low,fluent,collaborative,medium,augmented reality developer
science,expert,office,masters,thinker,analytical,high,fluent,strong,high,data analyst
business,advanced,solo,diploma,introvert,logical,low,fluent,visionary,high,site reliability engineer
business,expert,solo,high school,extrovert,logical,medium,fluent,moderate,very high,full stack developer
science,beginner,flexible,diploma,thinker,intuitive,high,outstanding,moderate,high,data analyst
business,expert,team,bachelors,doer,logical,low,excellent,visionary,medium,business analyst
technology,intermediate,remote,bachelors,introvert,analytical,high,outstanding,visionary,medium,algorithm engineer
science,expert,team,diploma,leader,practical,medium,poor,collaborative,high,hardware engineer
medicine,beginner,solo,diploma,extrovert,analytical,high,poor,strong,high,augmented reality developer
business,advanced,flexible,phd,leader,intuitive,high,fluent,moderate,medium,bioinformatics scientist
technology,intermediate,team,bachelors,thinker,creative,high,poor,visionary,very high,qa engineer
medicine,intermediate,team,high school,introvert,analytical,very high,poor,strong,high,ui/ux designer
science,advanced,solo,high school,extrovert,intuitive,high,poor,visionary,high,deep learning engineer
medicine,advanced,flexible,diploma,doer,creative,low,average,collaborative,medium,algorithm engineer
science,intermediate,flexible,bachelors,introvert,intuitive,low,fluent,visionary,high,cybersecurity analyst
medicine,expert,team,bachelors,leader,practical,high,poor,collaborative,high,devops engineer
art,intermediate,flexible,phd,thinker,intuitive,very high,outstanding,collaborative,exceptional,bioinformatics scientist
science,beginner,office,high school,extrovert,logical,high,poor,visionary,medium,computer vision engineer
science,beginner,flexible,diploma,leader,analytical,low,excellent,collaborative,exceptional,bioinformatics scientist
technology,intermediate,team,masters,leader,intuitive,medium,excellent,moderate,exceptional,ai ethics researcher
business,advanced,remote,masters,leader,analytical,high,fluent,collaborative,exceptional,cloud architect
technology,beginner,remote,high school,thinker,logical,high,average,collaborative,very high,iot specialist
technology,advanced,remote,diploma,introvert,creative,high,fluent,collaborative,exceptional,blockchain developer
medicine,intermediate,flexible,diploma,extrovert,logical,very high,average,strong,very high,deep learning engineer
medicine,intermediate,flexible,high school,doer,creative,very high,fluent,visionary,medium,solutions architect
technology,beginner,flexible,masters,introvert,intuitive,very high,fluent,moderate,medium,product manager
art,intermediate,office,bachelors,doer,creative,medium,fluent,visionary,low,system architect
medicine,expert,remote,phd,extrovert,analytical,medium,excellent,collaborative,exceptional,database administrator
business,intermediate,office,diploma,extrovert,practical,high,poor,strong,medium,automation engineer
business,beginner,solo,masters,thinker,practical,high,outstanding,moderate,low,solutions architect
science,advanced,solo,diploma,introvert,creative,high,outstanding,moderate,very high,product manager
technology,advanced,office,masters,thinker,practical,very high,fluent,visionary,low,ai ethics researcher
technology,intermediate,flexible,phd,thinker,creative,high,excellent,moderate,very high,game developer
business,beginner,flexible,diploma,leader,analytical,high,average,strong,low,ml engineer
science,intermediate,remote,bachelors,thinker,intuitive,high,excellent,collaborative,exceptional,cybersecurity analyst
technology,beginner,solo,bachelors,introvert,intuitive,high,outstanding,collaborative,medium,deep learning engineer
science,advanced,remote,diploma,thinker,analytical,very high,fluent,strong,high,embedded systems engineer
science,advanced,flexible,phd,introvert,intuitive,medium,poor,collaborative,medium,qa engineer
medicine,beginner,team,diploma,thinker,intuitive,low,fluent,collaborative,exceptional,cybersecurity analyst
art,expert,solo,masters,thinker,analytical,high,poor,visionary,low,virtual reality developer
business,advanced,remote,high school,extrovert,analytical,very high,average,moderate,low,bioinformatics scientist
medicine,intermediate,office,masters,thinker,analytical,high,average,collaborative,medium,hardware engineer
science,intermediate,team,high school,leader,practical,very high,fluent,visionary,exceptional,embedded systems engineer
medicine,beginner,team,masters,leader,analytical,very high,fluent,moderate,low,algorithm engineer
business,beginner,remote,high school,extrovert,practical,low,excellent,moderate,very high,ai researcher
science,expert,solo,high school,doer,intuitive,high,poor,collaborative,high,speech recognition specialist
science,advanced,flexible,diploma,leader,logical,very high,fluent,visionary,exceptional,devops engineer
science,beginner,team,diploma,leader,logical,high,average,visionary,medium,virtual reality developer
technology,intermediate,remote,high school,leader,intuitive,medium,excellent,visionary,exceptional,web developer
medicine,expert,team,phd,leader,logical,medium,average,collaborative,low,game developer
medicine,intermediate,flexible,diploma,extrovert,practical,high,outstanding,collaborative,high,deep learning engineer
business,intermediate,team,masters,introvert,creative,low,outstanding,strong,exceptional,data engineer
medicine,advanced,flexible,high school,extrovert,practical,high,excellent,strong,very high,cybersecurity analyst
medicine,expert,flexible,diploma,doer,analytical,medium,fluent,moderate,exceptional,ml engineer
technology,advanced,remote,bachelors,introvert,practical,high,fluent,visionary,very high,database administrator
medicine,expert,office,diploma,leader,analytical,high,excellent,collaborative,low,technical writer
medicine,advanced,office,diploma,leader,logical,low,excellent,moderate,medium,game developer
business,advanced,office,masters,doer,practical,low,excellent,collaborative,exceptional,hardware engineer
art,expert,solo,bachelors,leader,creative,medium,excellent,strong,high,web developer
art,intermediate,office,bachelors,thinker,practical,medium,average,moderate,high,software engineer
medicine,advanced,flexible,phd,extrovert,logical,medium,average,strong,exceptional,robotics engineer
art,expert,team,diploma,introvert,analytical,high,average,moderate,very high,ml engineer
technology,expert,team,diploma,leader,analytical,medium,outstanding,moderate,very high,web developer
science,expert,solo,masters,thinker,creative,very high,average,moderate,medium,system architect
business,advanced,remote,masters,doer,intuitive,high,excellent,collaborative,exceptional,qa engineer
technology,advanced,solo,phd,thinker,practical,high,excellent,visionary,low,game developer
science,advanced,remote,bachelors,doer,creative,very high,fluent,collaborative,high,database administrator
science,expert,solo,phd,leader,intuitive,very high,excellent,visionary,medium,data engineer
medicine,intermediate,team,bachelors,doer,logical,high,outstanding,collaborative,high,full stack developer
medicine,beginner,team,phd,introvert,practical,high,excellent,visionary,medium,deep learning engineer
art,advanced,remote,diploma,doer,intuitive,low,average,visionary,medium,embedded systems engineer
science,beginner,flexible,diploma,doer,practical,very high,outstanding,visionary,low,web developer
technology,intermediate,team,bachelors,introvert,intuitive,very high,outstanding,strong,low,computer vision engineer
art,expert,team,diploma,doer,analytical,very high,outstanding,moderate,medium,database administrator
art,intermediate,office,masters,doer,practical,high,average,visionary,low,cloud architect
technology,intermediate,team,masters,leader,logical,high,outstanding,moderate,very high,solutions architect
medicine,expert,team,phd,doer,analytical,low,average,collaborative,exceptional,mobile app developer
technology,expert,remote,bachelors,doer,practical,high,average,collaborative,high,ai researcher
medicine,advanced,team,phd,thinker,intuitive,very high,average,strong,high,system architect
medicine,beginner,office,bachelors,doer,logical,high,excellent,collaborative,medium,ui/ux designer
medicine,expert,office,high school,thinker,practical,very high,excellent,moderate,medium,blockchain developer
medicine,expert,remote,masters,thinker,creative,medium,outstanding,collaborative,exceptional,ui/ux designer
technology,expert,team,masters,thinker,logical,very high,excellent,collaborative,exceptional,game developer
science,expert,team,diploma,introvert,intuitive,medium,excellent,moderate,low,financial analyst
technology,beginner,remote,phd,thinker,logical,high,excellent,collaborative,exceptional,network engineer
business,expert,solo,diploma,extrovert,analytical,high,fluent,moderate,low,financial analyst
art,intermediate,flexible,phd,leader,creative,medium,outstanding,strong,medium,speech recognition specialist
technology,beginner,solo,high school,leader,creative,low,poor,collaborative,high,network engineer
business,intermediate,solo,phd,leader,practical,high,excellent,collaborative,medium,network engineer
medicine,advanced,flexible,masters,introvert,intuitive,high,excellent,strong,medium,bioinformatics scientist
business,intermediate,remote,diploma,extrovert,creative,low,fluent,collaborative,medium,devops engineer
technology,intermediate,flexible,diploma,thinker,practical,high,average,visionary,very high,ml engineer
business,expert,flexible,bachelors,introvert,practical,high,excellent,strong,exceptional,robotics engineer
medicine,advanced,remote,phd,thinker,creative,high,fluent,strong,low,nlp engineer
medicine,advanced,solo,diploma,thinker,practical,very high,poor,collaborative,exceptional,augmented reality developer
technology,beginner,solo,bachelors,leader,practical,high,outstanding,collaborative,medium,deep learning engineer
science,advanced,remote,phd,doer,practical,high,fluent,collaborative,very high,hardware engineer
medicine,advanced,remote,high school,introvert,logical,medium,average,visionary,low,ai researcher
technology,beginner,solo,high school,introvert,analytical,low,fluent,collaborative,exceptional,speech recognition specialist
medicine,beginner,remote,masters,extrovert,logical,high,outstanding,collaborative,very high,iot specialist
science,advanced,team,bachelors,extrovert,logical,high,outstanding,moderate,medium,deep learning engineer
science,beginner,remote,diploma,doer,practical,high,outstanding,visionary,high,financial analyst
science,expert,office,phd,thinker,logical,low,outstanding,collaborative,low,devops engineer
science,intermediate,team,bachelors,thinker,creative,high,outstanding,visionary,high,game developer
technology,advanced,office,bachelors,leader,practical,medium,outstanding,collaborative,medium,bioinformatics scientist
business,beginner,team,bachelors,leader,practical,low,average,moderate,very high,software engineer
science,beginner,team,diploma,extrovert,practical,high,outstanding,visionary,very high,business analyst
business,intermediate,team,phd,extrovert,creative,low,fluent,strong,low,deep learning engineer
medicine,beginner,office,masters,extrovert,creative,high,average,moderate,exceptional,system architect
art,beginner,flexible,bachelors,doer,logical,high,outstanding,strong,exceptional,mobile app developer
art,intermediate,team,phd,extrovert,practical,medium,excellent,moderate,low,virtual reality developer
science,expert,remote,masters,thinker,analytical,high,fluent,moderate,high,cloud architect
medicine,advanced,solo,phd,extrovert,intuitive,low,poor,visionary,medium,business analyst
medicine,advanced,remote,masters,leader,logical,medium,average,collaborative,low,full stack developer
art,intermediate,remote,phd,doer,intuitive,high,fluent,visionary,very high,data engineer
business,advanced,solo,bachelors,extrovert,intuitive,very high,poor,visionary,very high,business analyst
science,advanced,solo,masters,doer,analytical,high,excellent,visionary,low,cybersecurity analyst
art,expert,solo,masters,doer,logical,high,excellent,collaborative,high,virtual reality developer
business,beginner,solo,high school,thinker,analytical,medium,average,moderate,very high,site reliability engineer
